0 0 200_ 11111 
41515 35.56 71.78 10 20010530_9
41515 35.56 71.78 10010 20010530_3
41515 35.56 71.78 1010 20010530_0
41515 35.56 71.78 1010 20010530_12
41515 35.56 71.78 1010 20010531_0
41515 35.56 71.78 110 20010530_6
41523 34.73 72.34 10 20010530_15
41523 34.73 72.34 10 20010530_18
41523 34.73 72.34 10 20010530_21
41523 34.73 72.34 10 20010530_9
41523 34.73 72.34 10010 20010530_3
41523 34.73 72.34 1010 20010530_0
41523 34.73 72.34 1010 20010530_12
41523 34.73 72.34 1010 20010531_0
41523 34.73 72.34 110 20010530_6
41530 34.01 71.58 0 20010530_18
41530 34.01 71.58 10 20010530_15
41530 34.01 71.58 10 20010530_21
41530 34.01 71.58 10 20010530_9
41530 34.01 71.58 100 20010530_6
41530 34.01 71.58 1000 20010530_0
41530 34.01 71.58 1000 20010530_12
41530 34.01 71.58 1000 20010531_0
41530 34.01 71.58 10010 20010530_3
41535 34.18 73.25 0 20010530_18
41535 34.18 73.25 10 20010530_15
41535 34.18 73.25 10 20010530_21
41535 34.18 73.25 10 20010530_9
41535 34.18 73.25 100 20010530_6
41535 34.18 73.25 1000 20010530_0
41535 34.18 73.25 1000 20010530_12
41535 34.18 73.25 1000 20010531_0
41535 34.18 73.25 10010 20010530_3
41536 34.38 73.34 10 20010530_15
41536 34.38 73.34 10 20010530_9
41536 34.38 73.34 10010 20010530_3
41536 34.38 73.34 1010 20010530_0
41536 34.38 73.34 1010 20010530_12
41536 34.38 73.34 1010 20010531_0
41536 34.38 73.34 110 20010530_6
41560 33.86 70.08 10 20010530_18
41560 33.86 70.08 10 20010530_21
41560 33.86 70.08 10010 20010530_3
41560 33.86 70.08 1010 20010530_0
41560 33.86 70.08 1010 20010531_0
41571 33.61 73.09 0 20010530_18
41571 33.61 73.09 10 20010530_15
41571 33.61 73.09 10 20010530_9
41571 33.61 73.09 100 20010530_6
41571 33.61 73.09 1000 20010530_0
41571 33.61 73.09 10010 20010530_3
41571 33.61 73.09 1010 20010531_0
41573 33.91 73.38 0 20010530_18
41573 33.91 73.38 10 20010530_15
41573 33.91 73.38 10 20010530_21
41573 33.91 73.38 10 20010530_9
41573 33.91 73.38 100 20010530_6
41573 33.91 73.38 1000 20010530_0
41573 33.91 73.38 1000 20010530_12
41573 33.91 73.38 1000 20010531_0
41573 33.91 73.38 10010 20010530_3
41594 32.04 72.66 0 20010530_3
41594 32.04 72.66 0 20010530_6
41594 32.04 72.66 1000 20010530_0
41594 32.04 72.66 1000 20010530_12
41598 32.93 73.71 0 20010530_18
41598 32.93 73.71 10 20010530_15
41598 32.93 73.71 10 20010530_21
41598 32.93 73.71 10 20010530_9
41598 32.93 73.71 100 20010530_6
41598 32.93 73.71 1000 20010530_0
41598 32.93 73.71 1000 20010530_12
41598 32.93 73.71 1000 20010531_0
41598 32.93 73.71 10010 20010530_3
41600 32.5 74.53 10 20010530_15
41600 32.5 74.53 10 20010530_18
41600 32.5 74.53 10 20010530_21
41600 32.5 74.53 10 20010530_9
41600 32.5 74.53 10010 20010530_3
41600 32.5 74.53 1010 20010530_0
41600 32.5 74.53 1010 20010530_12
41600 32.5 74.53 1010 20010531_0
41600 32.5 74.53 110 20010530_6
41620 31.35 69.46 0 20010530_15
41620 31.35 69.46 0 20010530_18
41620 31.35 69.46 0 20010530_21
41620 31.35 69.46 0 20010530_6
41620 31.35 69.46 0 20010530_9
41620 31.35 69.46 1000 20010530_0
41620 31.35 69.46 1000 20010530_12
41620 31.35 69.46 1000 20010531_0
41620 31.35 69.46 10000 20010530_3
41624 31.81 70.91 10 20010530_15
41624 31.81 70.91 10 20010530_18
41624 31.81 70.91 10 20010530_21
41624 31.81 70.91 10 20010530_9
41624 31.81 70.91 10010 20010530_3
41624 31.81 70.91 1010 20010530_0
41624 31.81 70.91 1010 20010530_12
41624 31.81 70.91 1010 20010531_0
41624 31.81 70.91 110 20010530_6
41630 31.43 73.09 0 20010530_18
41630 31.43 73.09 10 20010530_15
41630 31.43 73.09 10 20010530_9
41630 31.43 73.09 100 20010530_6
41630 31.43 73.09 1000 20010530_0
41630 31.43 73.09 1000 20010530_12
41630 31.43 73.09 1000 20010531_0
41630 31.43 73.09 10010 20010530_3
41640 31.54 74.33 0 20010530_18
41640 31.54 74.33 10 20010530_15
41640 31.54 74.33 10 20010530_21
41640 31.54 74.33 10 20010530_9
41640 31.54 74.33 100 20010530_6
41640 31.54 74.33 1000 20010530_0
41640 31.54 74.33 1000 20010530_12
41640 31.54 74.33 1000 20010531_0
41640 31.54 74.33 10010 20010530_3
41660 30.25 66.88 10 20010530_15
